run,scenario_label,roll_max_rad,roll_std_rad,pitch_max_rad,z_min_m,crashed
Free flight S1,Nominal,3.1415926054052523,1.1561481724848834,1.4485508877586475,0.005246435738523986,True
Free flight S2,"Windy, selector OFF",3.1415923352786495,1.5434759302689263,1.4372916532454179,0.00669313200506699,True
Free flight S3,"Windy, selector ON",3.1415923352786495,1.5434759302689263,1.4372916532454179,0.00669313200506699,True
Free flight S4,Nominal->Windy transition,3.1415903568755126,1.1561430351084148,1.4485508877586475,0.005246435738523986,True
Free flight S5,Payload mid-flight,3.141592468113877,1.1981844182191395,1.4485508877586475,0.005246435738523986,True
Free flight S6,Payload + wind combined,3.1415923352786495,1.55796589644704,1.4372916532454179,0.00669313200506699,True
Pivot-constrained,Fixed pivot (Oh et al. rig analog),0.009257892529813058,0.004054334992339613,0.000721320089183469,,False
